from.x,from.y,from.z,to.x,to.y,to.z,close.x,close.y,close.z,closest_loop_distance,candidate_loop_distance,id_from,id_to,guess_nr,CFEAR,coral,odom-bounds,sc-sim,DerivedMiniClosure - MiniClosure_enabled,DerivedMiniClosure - max_d_close_,DerivedMiniClosure - max_d_travel_,DerivedMiniClosure - min_d_travel_,GTVicinity - GTVicinity_enabled,GTVicinity - max_d_close_,GTVicinity - max_d_travel_,GTVicinity - min_d_travel_,SC - NUM_CANDIDATES_FROM_TREE,SC - N_CANDIDATES,SC - PC_NUM_RING,SC - PC_NUM_SECTORS,SC - SC_DIST_THRES,SC - SEARCH_RATIO,SC - augment_sc,SC - desc_plot,SC - interpolation,SC - normalize,SC - odom_sigma_error,SC - odometry_coupled_closure,SC - prints,SC - radar_threshold,Scan Context - N_aggregate,Scan Context - SCClosure_enabled,Scan Context - raw_scan_context,data_dir,idx_halt,odom_sigma_error,registration_disabled,training_data_dir,verification_disabled,verify_via_odometry
1.60665,-0.00226568,0,1.60665,-0.00226568,0,1.60665,-0.00226568,0,100000,0,4,4,-1,0.000000,0.000000,0.000000,1.000000,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
3.60107,-0.0279396,0,3.60107,-0.0279396,0,3.60107,-0.0279396,0,100000,0,5,5,-1,0.000000,0.000000,0.000000,1.000000,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
5.79066,-0.0802899,0,5.79066,-0.0802899,0,5.79066,-0.0802899,0,100000,0,6,6,-1,0.000000,0.000000,0.000000,1.000000,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
8.17258,-0.153664,0,8.17258,-0.153664,0,8.17258,-0.153664,0,100000,0,7,7,-1,0.000000,0.000000,0.000000,1.000000,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
19.5571,-0.474538,0,1.60665,-0.00226568,0,19.5571,-0.474538,0,100000,17.9567,11,4,0,0.000000,0.000000,0.971694,1.757245,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
26.5095,-0.614568,0,3.60107,-0.0279396,0,1.60665,-0.00226568,0,24.9104,22.9159,15,5,0,0.000000,0.000000,0.966782,1.707810,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
28.4009,-0.640353,0,5.79066,-0.0802899,0,3.60107,-0.0279396,0,24.8074,22.6172,16,6,0,0.000000,0.000000,0.966970,1.682182,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
30.3351,-0.668472,0,10.7538,-0.23029,0,5.79066,-0.0802899,0,24.5515,19.5862,17,8,0,0.000000,0.000000,0.969769,1.689237,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
32.3365,-0.699568,0,10.7538,-0.23029,0,8.17258,-0.153664,0,24.17,21.5877,18,8,0,0.000000,0.000000,0.967863,1.671208,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
34.3845,-0.726423,0,16.4778,-0.387517,0,10.7538,-0.23029,0,23.6359,17.9099,19,10,0,0.000000,0.000000,0.971617,1.679285,0,15.000000,15.000000,25.000000,0,15.000000,4200.000000,40.000000,10.000000,1,40.000000,120.000000,0.200000,0.100000,1,0,area,0,0.050000,1,1,0.000000,1,1,1,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/radar,0,3.000000,0,//media/mattias/2TB/radardata/TBV_Eval/Mulran/KAIST01/training,0,1
